scancode	JIS	ANSI	ЙЦУКЕН
sc029	半角/全角	`,~	Ё
sc002	1	1,!	1
sc003	2	2,@	2
sc004	3	3,#	3
sc005	4	4,$	4
sc006	5	5,%	5
sc007	6	6,^	6
sc008	7	7,&	7
sc009	8	8,*	8
sc00A	9	9,(	9
sc00B	0	0,)	0
sc00C	-	-,_	-
sc00D	^	=,+	=
sc07D	\	(no key)	(no key)

sc010	Q	Q	Й
sc011	W	W	Ц
sc012	E	E	У
sc013	R	R	К
sc014	T	T	Е
sc015	Y	Y	Н
sc016	U	U	Г
sc017	I	I	Ш
sc018	O	O	Щ
sc019	P	P	З
sc01A	@	[	Х
sc01B	[	]	Ъ

sc03A	Capslock	Capslock	Capslock
sc01E	A	A	Ф
sc01F	S	S	Ы
sc020	D	D	В
sc021	F	F	А
sc022	G	G	П
sc023	H	H	Р
sc024	J	J	О
sc025	K	K	Л
sc026	L	L	Д
sc027	;	;,:	Ж
sc028	:	',"	Э
sc02B	]	\,|	\

sc02A	LShift	LShift	LShift
sc02C	Z	Z	Я
sc02D	X	X	Ч
sc02E	C	C	С
sc02F	V	V	М
sc030	B	B	И
sc031	N	N	Т
sc032	M	M	Ь
sc033	,	,,<	Б
sc034	.	.,>	Ю
sc035	/	/,?	.
sc073	\	(no key)	(no key)
sc136	RShift	RShift	RShift

sc01D	LCtrl	LCtrl	LCtrl
sc15B	LWin	LWin	LWin
sc038	LAlt	LAlt	LAlt
sc07B	無変換	(no key)	(no key)
sc039	Space	Space	Space
sc079	変換	(no key)	(no key)
sc070	ひらがな	(no key)	(no key)
sc15D	AppsKey	AppsKey	AppsKey
sc11D	RCtrl	RCtrl	RCtrl

sc03B	F1
sc03C	F2
sc03D	F3
sc03E	F4
sc03F	F5
sc040	F6
sc041	F7
sc042	F8
sc043	F9
sc044	F10
sc057	F11
sc058	F12