半角/全角	sc029
1	sc002
2	sc003
3	sc004
4	sc005
5	sc006
6	sc007
7	sc008
8	sc009
9	sc00A
0	sc00B
-	sc00C
^	sc00D
\	sc07D

Q	sc010
W	sc011
E	sc012
R	sc013
T	sc014
Y	sc015
U	sc016
I	sc017
O	sc018
P	sc019
@	sc01A
[	sc01B

Capslock	sc03A
A	sc01E
S	sc01F
D	sc020
F	sc021
G	sc022
H	sc023
J	sc024
K	sc025
L	sc026
;	sc027
:	sc028
]	sc02B

Shift	sc02A
Z	sc02C
X	sc02D
C	sc02E
V	sc02F
B	sc030
N	sc031
M	sc032
,	sc033
.	sc034
/	sc035
\	sc073
Shift	sc036

Ctrl	sc01D
Alt	sc038
無変換	sc07B
(space)	sc039
変換	sc079
ひらがな	sc070
Alt	E0 38
Ctrl	E0 1D

F1	sc03B
F2	sc03C
F3	sc03D
F4	sc03E
F5	sc03F
F6	sc040
F7	sc041
F8	sc042
F9	sc043
F10	sc044
F11	sc057
F12	sc058

(Left Windows)	E0 5B
(Right Windows)	E0 5C
(Application)	E0 5D